DocumentCopyID,DocumentCopyPropertyValue
65323,Monoxyde de carbone
65329,Trifluorure D'azote
65331,Protoxyde d'azote
65332,Protoxyde d'azote
65343,DABCO TMR-30 Catalyseur
65351,Halocarbon 116
65352,Azote
65363,PRODARCO 15
65364,INOMAXX PLUS
65365,ALUMAXX PLUS
65366,ASTEC 30
65372,Argon
65375,PRODARCO 7
65378,FERROMAXX PLUS
65384,OXYGENE PLONGEE
65386,PRODINOX
65407,APACHI
65408,Propane
65428,PROPANE DEPROPYLENE
65433,Halocarbon 134A
65438,Halocarbon 23
65441,n-Pentane
65442,PROPULS
65443,Protoxyde d'azote
65444,Dioxyde de carbone
65445,CO2 MEDICAL COELIOCHIRURGIE
65446,CO2 MEDICAL BIOLOGIE
65451,FRESHLINE Carbon Dioxide
65452,FRESHLINE Oxygen
65453,Halocarbon 407C
65456,FRESHLINE Nitrogen
65478,FERROMAXX 7
65479,INOMAXX 2
65493,ARGAZ 8
65494,PROTEC 5
65495,HYTEC 2
65496,HYTEC 5
65497,ARGAZ 18
65498,HYTEC 35
65500,ASTEC 75
65506,FRESHLINE 20%CO2 IN N2
65507,FRESHLINE 30%CO2 IN N2
65510,FRESHLINE 30%CO2 IN O2
65511,FRESHLINE 50%CO2 IN N2
65512,OXYNOX
65522,PRODARC 6
65546,ASTEC 20
65575,AZOXY 22
65668,ANCAMIDE 220X70 Agente Indurente
65697,SURFYNOL 104E Surfattante
65714,ANCAMINE 1769 Agente Indurente
65715,DABCO TMR-30 Catalizzatore
65726,EPILINK 360 Agente Indurente
65736,ANCAMINE K54 Agente Indurente
65737,ANCAMIDE 220 X 70 Agente Indurente
65739,ANQUAMINE 401 Agente Indurente
65760,EPODIL 750 Diluente
65768,ANCAMIDE 2353 Agente Indurente
65769,EPODIL 748 Diluente
65777,ANCAMINE 2014AS Agente Indurente
65791,ANCAMINE 2280 Agente Indurente
65804,EPODIL 749 Diluente
65817,ANCAMINE 2320 Agente Indurente
65819,ANCAMINE 2519 induritore
65824,ANCAMINE 155 Agente Indurente
65853,ANQUAWHITE 100 Agente Indurente
65858,ANCAMINE 1884 Agente Indurente
67248,AIR
67250,Helium
67251,UDARA SINTETIS
67252,Methane
67733,SURFYNOL 104PG50 SURFACTANTE
67753,DABCO DMEAA Catalizador
67754,DABCO DMEA Catalizador
67772,SURFYNOL 104E SURFACTANTE
67813,POLYCAT HBL1 Catalizador
67814,POLYCAT 41 Catalizador
67828,ANQUAMINE 701 Agente endurecedor
67830,ANQUAMINE 401 Agente endurecedor
67833,ANCAMINE 2497 Agente endurecedor
67867,DABCO DC193 SURFACTANTE
67909,ANCAMIDE 2386 Agente endurecedor
67910,ANCAMIDE 2353 Agente endurecedor
67930,ANCAMIDE 220 X 70 Agente endurecedor
67932,ANCAMINE 1884 Agente endurecedor
67933,EPILINK 701 Agente endurecedor
67937,EPODIL 748 Disolvente
67938,DABCO TMR-30 Catalizador
67939,ANCAMINE K54 Agente endurecedor
67957,ANCAMIDE 1691 Agente endurecedor
67962,ANQUAWHITE 100 Agente endurecedor
67963,EPILINK 360 Agente endurecedor
67981,ANCAMIDE 221X70 Agente endurecedor
68017,ANCAMINE 2280 Agente endurecedor
68039,ANCAMIDE 220X70 Agente endurecedor
68040,ECP Clean
68043,Trans-LC
68050,Halocarbon 23
68052,Hydrogen
68054,Helium
68056,Chlorine
68057,Carbon monoxide
68058,Carbon Dioxide
68059,Boron trichloride
68060,Arsine
68061,Argon (Refrigerated)
68062,Argon
68069,Propylene
68070,Phosphine
68071,Oxygen (Refrigerated)
68072,Oxygen
68073,Halocarbon 318
68076,Nitrogen (Refrigerated)
68077,Nitrogen
68088,Octafluorocyclopentene
68092,"Trifluoromethane, (R23)"
68094,Oxygen (Refrigerated)
68132,Sunmide E-1000
68140,Sunmide 315
68142,Sunmide 305-70X
68148,Sunmide WH-900
68151,DABCO MG2
68165,Dimethylcyclohexylamine
68184,SURFYNOL MD-20 DEFOAMER
68186,EPODIL 748 Diluent
68198,SURFYNOL DF110BC DEFOAMER
68249,DABCO DC5906
68275,SURFYNOL DF-75 DEFOAMER
68276,SURFYNOL DF-110L DEFOAMER
68277,SURFYNOL DF-110D DEFOAMER
68295,SURFYNOL DF-58 DEFOAMER
68307,Octafluoropropane
68319,Sunmide 360-65K
68364,DABCO CRYSTALLINE Crystalline.
68368,Mixture of Liquids MG1
68386,POLYCAT CT Catalyst
68404,FRESHLINE CARBON DIOXIDE LIQUID Carbon dioxide liquid
68412,Oxygen (Refrigerated)
68424,EPILINK 360 Curing Agent
68441,AIR
68446,Trans-LC
68458,FRESHLINE Oxygen
68459,MEDICAL OXYGEN
68461,OXYGEN BREATHING
68463,Oxygen
68465,Oxygen
68467,Propylene G32
68468,Methane G20
68489,DABCO DC193 SURFACTANT
68507,SURFYNOL DF-110D DEFOAMER
68530,POLYCAT 5 Catalyst
68544,ANCAMIDE 2353 Curing Agent
68546,ANCAMIDE 2386 Curing Agent
68552,ANCAMINE 2264 Curing Agent
68562,ANCAMIDE 700 B 75 Curing Agent
68579,ANCAMINE 1769 Curing Agent
68588,DABCO 8154 Catalyst
68593,DABCO BL-17 Catalyst
68594,DABCO BL-11 Catalyst
68600,EPODIL 748 Diluent
68616,SURFYNOL 104PG50 SURFACTANT
68625,SURFYNOL 104E SURFACTANT
68632,EDA Adduct 1977 Curing Agent
