DocumentCopyID,DocumentCopyPropertyValue
78220,DABCO DC5164 Surfactant
78221,DABCO DC5160 Surfactant
78222,DABCO DC5103 Surfactant
78223,DABCO DC5000 Surfactant
78224,DABCO DC2525 Surfactant
78225,HYBRIDUR 875 Polymer Dispersion
78226,ANCAREZ 2364 Resin
78235,SURFYNOL DF-75 Antischiumoso
78236,SURFYNOL FS-85 Surfattante
78237,SURFYNOL 104 Surfattante
78238,ANCAMINE 2021 Agente Indurente
78239,ANCAMINE 2512 induritore
78241,SURFYNOL 104S Surfattante
78242,SURFYNOL 2502 Surfattante
78243,SURFYNOL 465 Surfattante
78254,EPODIL 746 Diluente
78255,CUREZOL 2MZ-AZINE UNGD Agente Indurente
78256,CUREZOL 2MZ-AZINE 10?M Agente Indurente
78257,S-CURE 661
78258,ANCAMINE K61B Agente Indurente
78262,ANCAMINE BDMA induritore
78265,ANCAMIDE 501 Agente Indurente
78266,ANCAMIDE 500 Agente Indurente
78267,ANCAMIDE 2485 Agente Indurente
78268,ANCAMIDE 2050 Agente Indurente
78323,TOMADOL EXPL surfactante
78324,DABCO LK-221 surfactante
78350,SURFYNOL 104 SURFACTANTE
78351,ANQUAMINE 419 Agente endurecedor
78352,ANCAMINE 2513 endurecedor
78353,EPODIL 749 Disolvente
78354,ANCAMINE K61B Agente endurecedor
78356,HYBRIDUR 580 Special Grade Polymer Dispersion
78357,HYBRIDUR 580 Polymer Dispersion
78358,NOURYBOND 290 Adhesive Promoter
78359,ANCAMINE AD Agente endurecedor
78360,DABCO MG2
78361,DABCO 1027 Catalizador
78362,DABCO LK? 443E SURFACTANTE
78363,DABCO T-12N Catalizador
78364,EPODIL LV5 Disolvente
78365,EPODIL LV10 Disolvente
78367,DABCO DC 2 Catalizador
78368,DABCO KTM60 Catalizador
78369,DABCO DC5900 SURFACTANTE
78370,DABCO DC5160 SURFACTANTE
78373,Butane
78375,TDMAT
78378,ANCAMINE 2609 Curing Agent
78379,ANCAMINE 2570 Hardener
78380,ANCAMINE 2489 Curing Agent
78382,SURFYNOL PSA336 SURFACTANT
78384,ANCAMINE 149 Curing Agent
78385,DABCO DC5164 SURFACTANT
78386,DABCO 8420 Catalyst
78387,ANCAMINE 1637LV Curing Agent
78388,DABCO LK? 221E SURFACTANT
78389,EPODIL 750 Diluent
78390,ANCAMINE DL-50 Curing Agent
78391,ANCAMIDE 2050 Curing Agent
78392,DABCO 2039 Catalyst
78393,DABCO 1027 Catalyst
78394,ANCAMIDE 910 Curing Agent
78395,ANCAMIDE 2443 Curing Agent
78397,"Vloeibaar gemaakt gas, brandbaar, n.e.g. (Trimethylsilaan)"
78398,TMPI
78403,Arsine
78404,DABCO LK-221 Surfactant
78405,Arsine
78406,DABCO Catalyst Preblend
78407,DABCO LK-221 SURFACTANT
78409,Octafluorocyclopentene
78410,Helium
78421,Oxid uhelnat?
78426,DABCO EG Catalyst
78428,DABCO NE300 BLOW Katalysator
78429,SURFYNOL DF-110L Entsch?umer
78430,ANCAMIDE 910 H?rter
78431,ANCAMIDE 2573DEV H?rter
78432,ANCAMINE 3213 H?rter
78433,DABCO XD102 Katalysator
78434,ANCAMINE 2672 H?rter
78435,POLYCAT 34 Katalysator
78437,ANCAREZ 4331 Resin
78438,ANCAMINE 3198 H?rter
78439,DABCO KITANE 20 AS Katalysator
78443,SURFYNOL DF-110D antiespumante
78444,SURFYNOL 104PA SURFACTANTE
78445,SURFYNOL 104PG50 Aktiivinen pinnantekij?
78446,ANCAMINE 3213 Vulkanoimisaine
78447,ANCAMIDE 910 Vulkanoimisaine
78448,SURFYNOL 104S Surfactant
78449,POLYCAT 34 Catalyseur
78450,POLYCAT 15 Catalyseur
78464,EPILINK 660 Agente Indurente
78465,DYNOL 604 Surfattante
78466,ANCAMINE 2049 Agente Indurente
78467,EPODIL 741 Diluente 74%
78468,EPODIL 741 Diluente 98%
78469,EPODIL 757 Diluente
78537,SURFYNOL DF-110D antiespumante
78538,SURFYNOL 104PA SURFACTANTE
78541,NOURYBOND 272 Modifier
78542,NOURYBOND 276 Modifier
78543,ANCAMINE 2407 Curing Agent
78544,EPODIL 741 Diluent 74%
78545,EPODIL 741 Diluent 98%
78546,ANCAMIDE 503 Curing Agent
78549,M¨¦lange gazeux NOXAP800
78550,WELDOX 7
78551,Protoxyde d'azote
78552,Ethyl¨¨ne
78555,ANCAMIDE 2386 Agent de polym¨¦risation
78557,DABCO TMR Catalyseur
78559,DABCO MB20 Catalyst
78560,BBR3
78569,PROTEC 8
78577,ANCHOR 1115 Curing Agent
78578,DABCO 8154 Katalysator
78580,ANCAMIDE 503 H?rter
78581,ANCAMINE 3109 H?rter
78582,DABCO DMF90 Katalysator
78583,ANQUAMINE 724 H?rter
78584,SURFYNOL CT-111 oberfl?chenaktives Mittel
78587,SURFYNOL DF-66 Entsch?umer
78592,CARBOTIL
78593,POCL3
78595,FRESHLINE Argon
78596,XS139 SURFACTANTE
78597,SURFYNOL 104BC SURFACTANTE
78598,SURFYNOL PSA336 SURFACTANTE
78600,ANCAMINE 2578 endurecedor
78601,SURFYNOL 500S SURFACTANTE
78602,SURFYNOL DF-110D Vaahtonvasteinen aine (tai vaahtoa ehk?isyv? aine)
78603,Butane
78604,SURFYNOL DF-75 Agent d¨¦moussant
78605,XS139 Surfactant
78606,DABCO 8154 Catalyseur
78608,ANCHOR 1115 Agente Indurente
78666,SURFYNOL 500S SURFACTANTE
78667,ANCAMINE 2578 endurecedor
78670,XS139 SURFACTANTE
78671,SURFYNOL 104BC SURFACTANTE
78672,SURFYNOL PSA336 SURFACTANTE
78673,Methane
78679,Oxygen (Refrigerated)
78680,Chlorodifluoromethane (R22)
78681,Halocarbon 410A
78682,Halocarbon 407C
78684,AMICURE 101 Curing Agent
78685,ANCAMINE 2167 Curing Agent
78686,ANCAMINE 2578 Hardener
78687,EPODIL 749 Diluent
78688,ANQUAMINE 721 Curing Agent
78690,DABCO RE530 Catalyst
78691,ANCAMIDE 3030 Curing Agent
78692,ANCAMIDE 3201 Curing Agent
78693,ANCAMINE 3114 Curing Agent
78695,Xenon
78696,"Waterstofchloride, watervrij"
78701,POLYCAT SA-102 Catalyseur
78702,DABCO TMR-2 Catalyseur
78715,Etylen
78719,POLYCAT SA-1/10 Katalysator
78720,Butan
78722,SURFYNOL 485W oberfl?chenaktives Mittel
78724,ANCAMIDE 221X70 H?rter
78726,AMICURE 101 H?rter
78732,SURFYNOL 485 SURFACTANTE
78733,NOURYBOND 301 Modificador
78734,POLYCAT SA2LE Catalizador
78736,SURFYNOL DF110C antiespumante
78738,Air comprim¨¦
78739,Oxyde nitrique
78740,Octane
78741,SURFYNOL DF110C Agent d¨¦moussant
78742,POLYCAT SA2LE Catalyseur
78744,Intelimer IPA 13-6 Polym¨¨re
78745,POLYCAT SA-1/10 Catalyseur
78748,ANCAMIDE 220 Agente Indurente
78796,ANQUAWHITE 100 Agente de Cura
78807,SURFYNOL DF110C antiespumante
78808,NOURYBOND 301 Modificador
78810,SURFYNOL 485 SURFACTANTE
78814,ANCAMIDE 261A Curing Agent
78815,Intelimer IPA 13-6 Polymer
78817,ANCAMIDE 221X70 Curing Agent
78818,ANCAMINE 2410 Curing Agent
78819,ANCAMINE 2442 Curing Agent
78820,ANCAMIDE 501 Curing Agent
78821,EPODIL 757 Diluent
78822,EPODIL 759 Diluent
78824,HYBRIDUR 875 Polymer Dispersion
78825,ANCAMINE MCA Curing Agent
78827,ANCAMINE BDMA Hardener
78828,PROTEC 10
78830,Fluor Specialiteitsgas (mengsel)
78833,TOMADOL 45-7 Surfactant
78834,POLYCAT 58 Catalyseur
78836,Argon (Refrigerated)
78852,Metan
78856,ANCAMIDE 3623 Curing Agent
78858,SURFYNOL 61 Overfladeaktiv stof
78859,FRESHLINE 30%CO2 IN O2
78860,"Helium,tiefgek¨¹hlt,fl¨¹ssig"
78861,DABCO NE650 Polyurethan-Katalysator
78862,POLYCAT SA2LE Katalysator
78863,SURFYNOL DF-700 Luftporenverhinderer
78865,EPILINK MX H?rter
78870,ACT CMI-S Remover/Resist Stripper
78871,Helio l¨ªquido refrigerado
78872,Halocarbon 318
78874,DABCO NE650 Catalizador para poliuretano
78875,DABCO K-15 Catalizador
78876,DABCO DC5987
78878,ANCAMIDE 2652 Vulkanoimisaine
78879,TX-54
78880,ANQUAMINE 401 Vulkanoimisaine
78881,ANCAMINE 2264 Agent de polym¨¦risation
78882,H¨¦lium liquide r¨¦frig¨¦r¨¦
78883,SURFYNOL DF178 Agent d¨¦moussant
78884,ANCAMINE 2672 Agent de polym¨¦risation
78886,DABCO NE650 Catalyseur polyur¨¦thane
78893,EPODIL 759 Diluente
78961,DABCO K-15 Catalizador
78962,DABCO DC5987
78967,Helium (Refrigerated)
78969,ACT CMI-S Remover/Resist Stripper
78970,DABCO WT Catalyst
78972,X¨¦non
78973,Dioxyde de soufre
78974,Krypton
78975,H¨¦lium liquide r¨¦frig¨¦r¨¦
78976,FRESHLINE 30%CO2 IN O2
78977,"Helium, sterk gekoeld, vloeibaar"
78983,H¨¦lium liquide r¨¦frig¨¦r¨¦
78984,ANCAMINE TEPA Agent de polym¨¦risation
78985,Helium (Refrigerated)
78986,Trimethylsilane
78987,Helium (Refrigerated)
79006,Tetrafluormetan
79007,DABCO DC6070 SURFACTANT
79009,DABCO T-12N Katalysator
79010,EA
79011,ANCAMIDE 2396 H?rter
79012,DABCO DC5604 oberfl?chenaktives Mittel
79013,DABCO VP-137 Katalysator
79014,DABCO 2035 H?rter
79015,ANCHOR 1115 H?rter
79016,ANCAMINE 1768 H?rter
79017,Katalysator 1786B
79023,Arsina
79024,ANCAMINE 156 Agente endurecedor
79025,ANCAMINE 155 Agente endurecedor
79026,SURFYNOL DF-58 antiespumante
79027,SURFYNOL 420 SURFACTANTE
79028,DABCO SCOBA AS-45 Antioxidant
79032,SURFYNOL DF-37 Agent d¨¦moussant
79037,POLYCAT 77 Catalyseur
79038,SURFYNOL DF-66 Agent d¨¦moussant
79039,ANCAMINE K61B Agent de polym¨¦risation
79040,S-CURE 661
79042,SURFYNOL DF-110D Antischiumoso
79043,ANCAMINE 1704 Agente Indurente
79044,ANCAMINE 1784 Agente Indurente
79045,Catalizzatore 1786B
79046,SURFYNOL GA Surfattante
79100,SURFYNOL 502 surfactante
79101,SURFYNOL OP-340 surfactante
79102,ANCAMINE 2432 Agente de Cura
79118,DABCO SCOBA AS-45 Antioxidant
79120,TOMAMINE PA-14 ACETATE SURFACTANTE
79122,R-705
79123,SURFYNOL DF-58 antiespumante
79124,SURFYNOL 420 SURFACTANTE
79134,DABCO T2063 Catalyst
79135,ANCHOR 1040 Curing Agent
79136,ANCAMINE 1884 Curing Agent
79137,SURFYNOL GA SURFACTANT
79138,ANCAMINE 2379 Curing Agent
79139,Hexafluorure de soufre
79144,H¨¦lium
79145,ANCAMINE 1922A HP Agent de polym¨¦risation
79147,Helium
79149,ANCAMINE 1922A HP Curing Agent
79155,OXID DUSN?
79167,OXID DUSN?
79169,Halocarbon 116
79170,Hexafluorethan
79173,DABCO KTM70 Katalysator
79177,Halocarbon 508
79178,DABCO BDMA Catalizador
79179,POLYCAT 36 Catalyseur
79180,VERSALINK P-1000 Oligomeric Diamine
79181,VERSALINK P-250 Oligomeric Diamine
79182,VERSALINK P-650 Oligomeric Diamine
79216,ANCAMINE 2641 Agente de Cura
79217,ANCAMINE 1768 Agente de Cura
79218,ANCAMINE 2442 Agente de Cura
79219,ANQUAMINE 721 Agente de Cura
79220,ANCAMIDE 221 Agente de Cura
79231,DABCO BDMA Catalizador
79233,VERSALINK P-650 Oligomeric Diamine
79234,VERSALINK P-250 Oligomeric Diamine
79235,VERSALINK P-1000 Oligomeric Diamine
79236,Propane
79237,"Koolstofdioxyde, sterk gekoeld, vloeibaar"
79240,TOMAMINE P-DT-2 Surfactant
79241,DABCO RE630 Catalyst
79242,TOMAMINE P-DT-2 SURFACTANT
79257,ANCAMINE 1768 Curing Agent
79258,ANCHOR 1040 Curing Agent
79259,ANCAMIDE 2573DEV Hardener
79260,ANCAMINE 2514 Hardener
79261,ANCAMIDE 503 Curing Agent
79262,ANCAMINE 2603DEV Curing Agent
79263,CUREZOL 2MZ-AZINE UNGD Curing Agent
79264,CUREZOL 2MZ-AZINE 10?M Curing Agent
79266,AMICURE UR2T Curing Agent
79267,ANCAMIDE 910 Curing Agent
79268,ANCAMIDE 2634 Curing Agent
79269,ANCAMIDE 2396 Curing Agent
79270,ANCAMINE 1769 Curing Agent
79271,EPODIL 748 Diluent
79272,SURFYNOL 104 Overfladeaktiv stof
79273,Germaniumwasserstoff (German)
79274,DABCO FO2051 Katalysator
79275,POLYCAT 420 Katalysator
79276,DABCO T Katalysator
79277,VS-103 Cell Stabilizer
79278,ANCAMIDE 260A H?rter
79279,POLYCAT 43 Katalysator
79281,HYBRIDUR 560 Polymer Dispersion
79283,DABCO TMR-2 Catalizador
79284,ANCAMINE LVS Agente endurecedor
79285,DABCO DC5169 SURFACTANTE
79286,ANCAMINE 2605 Curative
79287,COPPEREADY CP 72B
79290,DYNOL 607 Surfactant
79292,ANCAMIDE 220X70 Agent de polym¨¦risation
79293,ANCAMIDE 220 X 70 Agent de polym¨¦risation
79294,DABCO T Catalyseur
79295,ANCAMIDE 260A Agent de polym¨¦risation
79297,ANCAMINE 1856 Agent de polym¨¦risation
79303,ANCAMINE 1638 Agente Indurente
79305,ANCAMINE LVS Agente Indurente
79307,ANCAMINE 1916 Agente Indurente
79308,ANCAMINE 2337S Agente Indurente
79356,ANCAMINE 2481 Agente de Cura
79357,ANCAMINE DL-50 Agente de Cura
79358,TOMADOL 400 surfactante
79359,DABCO T-9 Catalisador
79360,DABCO DC2525 surfactante
79361,DABCO DC5160 surfactante
79363,ANCAMINE T Agente de Cura
79398,DABCO DC5169 SURFACTANTE
79399,DABCO TMR-2 Catalizador
79400,ANCAMINE LVS Agente endurecedor
79402,ACT NE-111 Remover
79403,BPS 172
79404,BPS-729-B
79405,BPS 100
79423,BPS 729
79424,DABCO T120 Catalyst
79425,ANCAMINE 2579 Hardener
79426,POLYCAT DBU Catalyst
79427,DBU
79428,AMICURE DBUE Curing Agent
79429,FRESHLINE 50%CO2 IN N2
79431,Ademlucht
79432,AIR
79435,ANCAMINE 2410 Agent de polym¨¦risation
79436,ANCAMINE 2458 Agent de polym¨¦risation
79437,TOMADOL 25-9 Surfactant
79438,TOMADOL 25-7 Surfactant
79439,TOMADOL 25-3 Surfactant
79440,TOMADOL 25-3 LH Surfactant
79441,TOMADOL 1504 Surfactant
79442,DABCO XDM Catalyseur
79443,ANCAMINE 2458 Curing Agent
79444,DABCO XDM Catalyst
79445,Sulphur hexafluoride
79446,Halocarbon 23
79459,NOURYBOND 276 Modifier
79461,EPODIL 750 Diluent
79462,SURFYNOL DF-75 Antiskummende
79464,Oktafluorcyclopenten
79465,Perfluorcyclopenten
79466,DABCO DC 5LE Katalysator
79467,ANCAMINE 2519 H?rter
79468,CUREZOL 2MZ-AZINE 10?M H?rter
79469,CUREZOL 2MZ-AZINE UNGD H?rter
79470,ANCAMIDE 2443 H?rter
79471,ANCAREZ 2364 Resin
79472,ANCAMINE 1618 H?rter
79474,ANCAMINE 3208 Agente endurecedor
79475,SURFYNOL DF-110L antiespumante
79477,Etano
79478,Ne¨®n
79479,DABCO EG Catalizador
79481,SURFYNOL MD-20 antiespumante
79483,FINARC
79484,SURFYNOL DF-66 antiespumante
79485,SURFYNOL DF-37 antiespumante
79488,SURFYNOL DF-695 antiespumante
79489,DABCO T Catalizador
79490,DABCO DC5188
79492,ANCAMIDE 3030 Agente endurecedor
79493,ANQUAMINE 721 Agente endurecedor
79494,DABCO 33-S Catalizador
79495,EPODIL 757 Disolvente
79496,ARGAZ 12
79497,TEB11
79498,Octane
79501,DABCO TMR-3 Catalyseur
79502,ANCAMINE 1693 Agent de polym¨¦risation
79509,ANQUAMINE 419 Agente Indurente
79513,ANCAMINE 1693HV Agente Indurente
79516,ANCAMINE 2167 Agente Indurente
79566,Metano
79567,ANCAMINE 1638 Agente de Cura
79568,ANCAMIDE 700 B 75 Agente de Cura
79572,SURFYNOL DF-110L antiespumante
79573,EnviroGem? AD01 surfactante
79575,Dimethylcyclohexylamine
79576,POLYCAT 8 Catalisador
79577,DABCO T-12 Catalisador
79578,DABCO T12A Catalisador
79579,DABCO T125 Catalisador
79580,ANCAMINE 2553 Agente de Cura
79597,TOMAMINE DA-1618 SURFACTANTE
79598,SURFYNOL DF-110L antiespumante
79600,DABCO 33-S Catalizador
79601,Mezcla de l¨ªquidos MG1
79602,DABCO EG Catalizador
79603,DABCO DC5188
79604,DABCO TA Catalizador
79605,DABCO T Catalizador
79606,DABCO DEM042 Catalizador
79607,ANQUAMINE 721 Agente endurecedor
79610,EPODIL 757 Disolvente
79613,SURFYNOL MD-20 antiespumante
79615,SURFYNOL DF-695 antiespumante
79616,SURFYNOL DF-66 antiespumante
79617,SURFYNOL DF-37 antiespumante
79624,ANCAMIDE 2733 Curing Agent
79626,DYNOL 604 SURFACTANT
79627,SURFYNOL DF-75 DEFOAMER
79628,SURFYNOL 104A SURFACTANT
79629,DABCO DC198 SURFACTANT
79630,DABCO DC3043 SURFACTANT
79631,DABCO 25-S Catalyst
79632,DABCO S-25 Catalyst
79633,DABCO FO2051 Catalyst
79634,DABCO NE200 BLOW Catalyst
79635,DABCO NE600 BALANCED Catalyst
79636,ANCAMINE AD Curing Agent
79640,Ethaan
79656,ANCAMINE 2686 H?rter
79657,DISBON EP 1011
79686,ANCAMINE 2678 Agent de polym¨¦risation
79777,ANCAMINE 2678 Agent de polym¨¦risation
79793,ANCAMINE 2609 Curing Agent
79794,"Hexanes, Mixture of Isomers"
79796,ANCAMIDE 3178 H?rter
79797,ANCAMINE 2379 H?rter
79798,ANCAMINE 2489 H?rter
79799,SURFYNOL GA oberfl?chenaktives Mittel
79800,ANCAMINE 2579 H?rter
79803,SURFYNOL DF178 Entsch?umer
79804,ANCAMINE LO H?rter
79808,PACM-2M
79810,AMICURE PACM Agente endurecedor
79812,Di¨®xido de carbono l¨ªquido refrigerado
79813,Butano-n
79815,HYBRIDUR 570 Polymer Dispersion
79816,ANCAMINE 155 Vulkanoimisaine
79817,DABCO T120 Catalyseur
79818,VS-103 Cell Stabilizer
79819,DABCO DC 5LE Catalyseur
79820,DABCO KTM70 Catalyseur
79821,ANCAMINE 2719 Agent de polym¨¦risation
79822,ANCAMINE 2519 durcisseur
79830,Catalizzatore 2134
79831,SURFYNOL DF-695 Antischiumoso
79833,ANCAMINE 2410 Agente Indurente
79874,Hexafluoreto de enxofre
79875,XS139 surfactante
79876,DABCO DC21 Catalisador
79877,ANCHOR IPD Agente de Cura
79895,AMICURE PACM Agente endurecedor
79897,PACM-2M
79902,Halocarbon 413A
79904,ANCAMINE 1934 Curing Agent
79907,ANCAMINE 2410BZA68 Curing Agent
79908,ANCAMIDE 903MAV Curing Agent
79909,POLYCAT SA-1/10 Catalyst
79910,Ethane
79911,Waterstofsulfide
79912,Isobutaan
79913,TDMAS
79915,DABCO BL-22 Catalyst
79916,Halocarbon 413A
79930,ANCAMINE 2719 Curing Agent
79931,SURFYNOL DF-110D Antiskummende
79932,ANCAMIDE 1691 H?rter
79938,VERSAMINE EH30 endurecedor
79939,ANCAREZ 4305 Resin
79940,ANQUAMINE 735 Agente endurecedor
79945,ANCAMINE 2489 Agente Indurente
79989,TOMAMINE E-14-5 surfactante
79990,ANCAMINE 2422 Agente de Cura
79991,ANCAMINE 2334 Agente de Cura
79992,IMICURE EMI-24 Agente de Cura 90%
79994,ANCAMINE TETA Agente de Cura
80001,ANQUAMINE 735 Agente endurecedor
80002,VERSAMINE EH30 endurecedor
80005,SURFYNOL 104 SURFACTANT
80006,SURFYNOL DF-695 DEFOAMER
80007,DABCO PM300 ADDITIVE
80030,POLYCAT 8 Catalyst
80031,DABCO NE1082 Katalysator
80032,ANCAMINE 1110 H?rter
80033,ANCAMINE 2410 H?rter
80035,DABCO T120 Catalizador
80037,Tetrafluormetano
80066,TOMAMINE M70-1 surfactante
80068,NONIDET SF-5 surfactante
80069,TOMADOL 900 surfactante
80071,TOMADOL 23-1 surfactante
80072,TOMADOL 23-1B surfactante
80073,AMICURE DBUE Agente de Cura
80075,DBU
80076,POLYCAT DBU Catalisador
80077,DABCO DC 2 Catalisador
80078,DABCO T120 Catalisador
80079,POLYCAT 41 Catalisador
80080,POLYCAT HBL1 Catalisador
80081,RC CATALYST 6099
80082,DABCO CRYSTALLINE Cristalino.
80083,DABCO Cristalino.
80084,DABCO DC 1 Catalisador
80085,Addocat 105A Catalisador
80086,DABCO 33 LV Catalisador
80089,DABCO T120 Catalizador
80092,TEOS
80093,Ethane
80094,Halocarbon 318
80095,Hexafluoretano comprimido
80096,Arsine
80097,Mixed Polycycloaliphatic Amines
80133,DABCO DC193 SURFACTANT
80134,DABCO DC5906
80135,DABCO NE1070 AMINE Katalysator
80136,ANCAMINE 2719 H?rdningsmiddel
80137,POLYCAT 77 Katalysator
80138,DABCO XED20B Katalysator
80139,DABCO DC5043 Overfladeaktiv stof
80140,AMICURE DBUE H?rdningsmiddel
80141,DBU
80142,POLYCAT DBU Katalysator
80143,DABCO CRYSTALLINE Krystallinsk.
80144,DABCO Krystallinsk.
80145,DABCO SI 3503 oberfl?chenaktives Mittel
80146,ANCAMINE Z H?rter
80151,ANCAMINE 3213 Agente endurecedor
80152,SURFYNOL DF-700 Agente de arrastre del aire retenido
80154,AMICURE DBUE Agent de polym¨¦risation
80155,DBU
80156,POLYCAT DBU Catalyseur
80157,ANCAMINE 1704 Agent de polym¨¦risation
80164,ANCAMINE 2459 Agente Indurente
80224,ANCAMIDE 2426 Curing Agent
80225,ANCAMINE 2719 Curing Agent
80226,Chlore
80227,ASTEC S72
80228,Chlorure d'hydrog¨¨ne anhydre
80253,DABCO NE300 Blow Catalyst
80254,DABCO T120 Katalysator
80255,ANCAMINE 3135 H?rdningsmiddel
80259,Acetylen
80260,"Acetylen,gel?st"
80261,Halocarbon 318
80262,"Sauerstoff,tiefgek¨¹hlt,fl¨¹ssig"
80263,ECP Clean
80264,ACT XT-1100 Remover
80265,POLYCAT 17 Katalysator
80266,DABCO XDM Katalysator
80267,SURFYNOL CT-141 Dispergiermittel
80269,ANCAMINE 2655 H?rter
80270,Intelimer IPA 13-1 NG Polymer
80271,VERSAMINE EH30 H?rter
80274,CARBOWET 2000 oberfl?chenaktives Mittel
80275,ANCAMIDE 2426 H?rter
80276,ANCAMINE 2072 H?rter
80277,ANCAMINE 2337S H?rter
80278,ANCAMINE 2167 H?rter
80279,DABCO SCOBA AS-45 Antioxidant
80280,DABCO BL-19 Katalysator
80281,IMICURE EMI-24 Alterungsmittel 90%
80282,EPODIL 742 L?sungsmittel
80283,DABCO 2011 Katalysator
80284,ANCAMINE 2719 H?rter
80285,NOURYBOND 374 Modifikator
80293,ANCAMINE 2432 Agente endurecedor
80295,EDA Adduct 1977 Agente endurecedor
80296,Acetileno
80297,CARBOTIL 12
80298,Nitroetil
80300,DABCO RE530 Catalizador
80301,ANCAMINE 2685 Agente endurecedor
80303,ANCAMINE 2719 Agente endurecedor
80304,ANCATHERM 557 Poliamida termopl¨¢stica
80305,EnviroGem? 360 Aktiivinen pinnantekij?
80307,ANCAMINE 2609 Vulkanoimisaine
80308,ANCAMINE 2578 karkaisuaine
80309,Ac¨¦tyl¨¨ne dissous
80310,Ac¨¦tyl¨¨ne
80311,MAGIC 4 Solution
80312,ANCAMINE 2168 Agent de polym¨¦risation
80313,ANCAMINE 1769 Agent de polym¨¦risation
80314,EPIRES ER8 R¨¦sine ¨¦poxy
80315,ANCAMINE 2074 Agent de polym¨¦risation
80316,ANQUAMIDE 381 Agent de polym¨¦risation
80317,ANCAMINE 2513 durcisseur
80318,ANQUAMINE 419 Agent de polym¨¦risation
80319,DABCO 2039 Catalyseur
80321,DABCO DC5169 Surfactant
80323,NOURYBOND 374 Agent modifiant
80326,Intelimer IPA 13-1 NG Polym¨¨re
80327,DABCO 33 LX Catalyseur
80331,ANCAMINE 2074 Agente Indurente
80332,CARBOWET 2000 Surfattante
80333,AMICURE DBUE Agente Indurente
80334,DBU
80335,POLYCAT DBU Catalizzatore
80343,ANCAMINE 2205 Agente Indurente
80344,ANCAMIDE 2137 Agente Indurente
80345,ANCAMIDE 2396 Agente Indurente
80424,FRESHLINE 50%CO2 IN N2
80425,Inolinx TIG
80426,EPODIL 750 Diluente
80427,ANCAMINE 1856 Agente de Cura
80428,Intelimer IPA 13-1 NG Pol¨ªmero
80429,DABCO DMEA Catalisador
80430,DABCO DC6070 surfactante
80431,DABCO DMEAA Catalisador
80432,POLYCAT 9 Catalisador
80433,TOMADOL 91-2.5 surfactante
80434,TOMADOL 1-5 surfactante
80465,ANCAMINE 2432 Agente endurecedor
80468,DABCO RE530 Catalizador
80470,Hydrogen selenide
80478,ZTOMCATS CVD Precursor
80479,Nitrogen Trifluoride
80480,ANCAMINE T Curing Agent
80481,ANCAMINE 2902 Curing Agent
80482,AMICURE IC 221 Curing Agent for Polyisocyanates
80483,POLYCAT 15 Catalyst
80484,DABCO DC5604 SURFACTANT
80485,DABCO DC5357 SURFACTANT
80486,DABCO KTM70 Catalyst
80487,ANCAMINE 2513 Hardener
80488,CARBOWET 2000 SURFACTANT
80489,ANCAMINE 155 Curing Agent
80490,DABCO T Catalyst
80491,ANCAMINE 2021 Curing Agent
80492,ANCAMINE 1704 Curing Agent
80493,ANCHOR 1115 Curing Agent
80494,Ac¨¦tyl¨¨ne dissous
80495,Ac¨¦tyl¨¨ne
80496,"Acetyleen, opgelost"
80497,Acetyleen
80512,ANCAMINE DETA Agent de polym¨¦risation
80513,ANCAMIDE 260A Agent de polym¨¦risation
80514,TOMAMINE Inhibitor 60Q Surfactant
80515,TOMAMINE Inhibitor 60Q SURFACTANT
80516,Intelimer IPA 13-1 NG Polymer
80517,Carbon monoxide
80518,Ethylene
80535,SURFYNOL DF-58 Antiskummende
80536,CVD SiO2 Silicon Sources Sample
80537,DEMS?
80538,SYNTHETIC AIR
80539,SYNTHETIC AIR
80551,SURFYNOL 2502 surfactante
80552,DABCO KTM60 Catalisador
80562,SYNTHETIC AIR
80563,HYTEC 2
80564,"Hexafluoro-1,3-Butadieen"
80565,SYNTHETIC AIR
80567,TOMAMINE E-17-5 Surfactant
80569,TOMAMINE E-17-5 SURFACTANT
80570,SYNTHETIC AIR
80588,ANCAMIDE 3622 Curing Agent
80589,DABCO 25-S Catalyst
80590,DABCO S-25 Catalyst
80591,DABCO DC3042 oberfl?chenaktives Mittel
80592,POLYCAT 30 Katalysator
80593,ANCAMIDE 3622 H?rter
80598,ANCAMIDE 3622 Agente endurecedor
80603,DABCO VP-137 Catalyseur
80656,TOMADOL 23-3 surfactante
80673,AIR
80679,SURFYNOL 2502 Surfactant
80683,TOMAMINE E-T-2 Surfactant
80684,ANCAMINE 2368 Agent de polym¨¦risation
80686,ANCAMINE 2726 Curing Agent
80687,TOMAMINE E-T-2 SURFACTANT
80704,EPODIL 741 L?sungsmittel 74%
80705,EPODIL 741 L?sungsmittel 98%
80708,SURFYNOL DF-62 antiespumante
80710,HYBRIDUR 870 Polymer Dispersion
80773,SURFYNOL DF-62 antiespumante
80774,HYBRIDUR 870 Polymer Dispersion
80781,DABCO 2040 Catalyseur
80784,DABCO 2040 Catalyst
80785,Nitrogen (Refrigerated)
80786,SYNTHETIC AIR
80787,BREATHING AIR
80788,AIR
80794,Halocarbon 410A
80795,Halocarbon 407C
80807,ANCAMIDE 2353 Curing Agent
80808,DABCO BA100 Tils?tningsstof
80809,DABCO NE400 BALANCED Katalysator
80811,DABCO BA100 Additiv
80816,AMICURE 101 Agente endurecedor
